"delta21","lambda21","mu.alpha","mu.sigma[1]","mu.sigma[2]","mu.sigma[3]","p.mean[1, 1]","p.mean[2, 1]","p.mean[1, 2]","p.mean[2, 2]","p.mean[1, 3]","p.mean[2, 3]","p.mean[1, 4]","p.mean[2, 4]","p.mean[1, 5]","p.mean[2, 5]","p.mean[1, 6]","p.mean[2, 6]","p.mean[1, 7]","p.mean[2, 7]","p.sigma","p1.alpha","p2.alpha","phi.beta","phi1.alpha","phi2.alpha","phi2.mu","pi.alpha","psi12.alpha","psi21.alpha","r.delta","r.lambda","w[1]","w[2]"
0,0.0238078807813983,1.04450541994484,0.195768226874463,0.283180463938456,0.46443533629242,0.734167472121269,0.378988032482952,0.223394218175345,0.431524656924217,0.466517755829945,0.633936968804,0.437391252674451,0.337131339013323,0.810745518030144,0.152816067658853,0.200217929443248,0.179832632717635,0.185236925466574,0.0466807750652343,1.22889566445479,0.379242915393298,0.717666641553496,-0.802592781686129,0.149176975285844,0.149176975285844,0.015243765836606,0.421625206995469,0.0637407998527943,0.282957505550613,0.202139107364759,0.542721880002833,0,1
0,0.0329915867484937,1.03639037825534,0.195768226874463,0.348396406161181,0.51776523159735,0.633075421908114,0.37049255639256,0.244677672961394,0.286353160200188,0.446673438272637,0.183086132873781,0.487403672707067,0.347749598629408,0.731082299464791,0.22140757317508,0.119478283644189,0.521471189240549,0.0905537927213372,0.0603032410635606,1.07949332580607,0.370714425664408,0.737381330506756,-0.676397489074928,0.193656337076292,0.193656337076292,0.0287691904121497,0.427188989203187,0.0632138436984485,0.26792090244552,0.187149663350317,0.552899795250259,0,1
0,0.0242235772706455,1.03085339977,0.178175005582122,0.403777963914875,0.522174455144202,0.656288277788524,0.485455933735747,0.272139027692292,0.456091038078662,0.591675255595041,0.423819966344814,0.436032561911871,0.439117124267025,0.746584752165407,0.266762995722302,0.222695175297944,0.336941477710368,0.389077954091032,0.014626249011692,1.07949332580607,0.40474147519968,0.737381330506756,-0.635815783241194,0.172625505658425,0.172625505658425,0.0290390696382855,0.375624789590746,0.0632138436984485,0.231867459994178,0.181784375369738,0.595469483649466,0,1
0,0.04620828468335,1.04286673117974,0.18356421094944,0.419196294227029,0.528141081751557,0.72625968377944,0.324727736883264,0.260538777312706,0.471681425028656,0.504625030041411,0.408516371196964,0.41770158480828,0.316319339471825,0.711101678697713,0.174072255963732,0.144804411442357,0.561041488376398,0.235263033625117,0.0154073053465198,1.15089973070545,0.39947951784455,0.72445056896045,-0.305820236720634,0.151044066277383,0.151044066277383,0.0634248576500537,0.426326213778015,0.0609310328224956,0.215696522504077,0.201708224734236,0.58114599762492,0,1
0,0.0348989676797766,1.03746030980114,0.187380674123051,0.436025143685591,0.478539195465916,0.738050482481039,0.474704308428744,0.237664344869833,0.298046619320228,0.496064379720085,0.446231712924782,0.407909378497843,0.450648966454637,0.618466041865437,0.185506872295527,0.0969036056811115,0.508341747418053,0.220418231684247,0.00966801689419029,1.24995661191346,0.364305040912707,0.713986061855559,-0.0151504125082775,0.120507073157711,0.120507073157711,0.115463373536735,0.396268512493827,0.0467629615805604,0.238332712402934,0.197020925224054,0.529863378182597,0,1
0,0.0335195863037549,1.03652451628224,0.19747193323576,0.395723834199609,0.478539195465916,0.609366287955112,0.480876155240915,0.268864493921324,0.482982159147365,0.574557765741893,0.0841501366472207,0.325622101291875,0.421534375362555,0.687763318463389,0.191384516839516,0.102940064669597,0.289809238193906,0.226540116393784,0.0164434574701365,1.12704673228716,0.345272125758936,0.683312747382518,-0.082530286699599,0.0948728094999291,0.0948728094999291,0.0751774379849127,0.396268512493827,0.0567810778661899,0.308032766625163,0.215095377426312,0.533483970828602,0,1
0,0.0330829960512875,1.03652451628224,0.190919728037192,0.358907408630439,0.478539195465916,0.492371712975715,0.287708663344462,0.291038433067977,0.390445207528977,0.592866606442316,0.465395386583666,0.333525723812281,0.474533075014856,0.739191612123696,0.182902763959343,0.221398191340153,0.434057318256498,0.210770222222169,0.0608754832485938,1.12704673228716,0.362500016869947,0.578280331323291,-0.103687555670904,0.112858450419849,0.112858450419849,0.0842507579068062,0.436605948690868,0.0501170503953574,0.23050155217035,0.228426707463975,0.481241082438897,0,1
0,0.0246260338262884,1.0412625158364,0.19325183912378,0.260353328555202,0.49588550150674,0.487467631649784,0.360385351216248,0.275447046383646,0.378995724565012,0.628794604872168,0.397096646155146,0.441920999394161,0.525733983735218,0.77701183542154,0.175941625333771,0.166399496845116,0.13509508097107,0.187604979098905,0.0587379930367021,1.23021746059688,0.345086939576052,0.624456132913966,-0.103687555670904,0.108256782814165,0.108256782814165,0.0807034098920675,0.428168067628888,0.0501170503953574,0.261770281323962,0.247806338501171,0.49890156635078,0,1
0,0.0365293784520433,1.04383748986744,0.19325183912378,0.290790313830628,0.509669508048924,0.591897633352292,0.40802272062184,0.42773512984272,0.585082730396681,0.575776499761519,0.587276152479236,0.398602116717257,0.417300405018136,0.735148744616198,0.210556072135551,0.133557229959231,0.537431289958336,0.272546244678031,0.0655618285473214,1.20363829617777,0.392286373809759,0.602000181192665,-0.253963123217649,0.11965206759043,0.11965206759043,0.0581664487804015,0.490129935965673,0.0518749165905569,0.261770281323962,0.247806338501171,0.518668788906367,0,1
0,0.0367225780558953,1.03838731867439,0.196080291467771,0.309239655964467,0.519649681516537,0.670192720919381,0.350432580697951,0.309866349836901,0.529152450894775,0.503435993813578,0.29965979090446,0.316120404299283,0.311129116619702,0.616703398654529,0.252262445606592,0.151754762639256,0.164572013680143,0.229053126073709,0.0539884310988994,1.18345769139753,0.359446827143108,0.586339386647829,-0.10483349179067,0.117545931240041,0.117545931240041,0.0874188026835296,0.490129935965673,0.0621544165928616,0.149609441791114,0.25802054490173,0.543639546125429,0,1
